Phase,Type,Model,Spearman_GroupCV,Pearson_GroupCV,R2_GroupCV,Kendall_GroupCV,MAE_GroupCV,RMSE_GroupCV,Spearman_Train,Spearman_Val,Train_Val_Ratio
2A,ML,LightGBM,0.44897536599533344,0.460796684991192,0.1569271852224753,0.31279405916385117,1.8725692498345314,2.51829167494196,0.8448771499581434,0.44897536599533344,1.8817895455915168
2A,ML,LightGBM_DART,0.43733594116144386,0.4415026374011484,0.17283941516314072,0.30390017033067757,1.8811306827111023,2.497676802174389,0.8213214290318551,0.43733594116144386,1.8780103616699133
2A,ML,XGBoost,0.43610949985262576,0.4872419039408366,0.185381809870402,0.30352560977857923,1.8742963870366414,2.4808827272808096,0.8797636956350324,0.43610949985262576,2.017300003628287
2A,ML,CatBoost,0.47646781116286147,0.5196061087064415,0.24282356814103245,0.33439832128602176,1.8005788251676096,2.3932112308074256,0.8699198365640951,0.47646781116286147,1.8257683230289565
2A,ML,RandomForest,0.43026058390015925,0.43045112601442553,0.0674920993851554,0.2988846026191954,1.9484041948849369,2.645764209698699,0.945239037622167,0.43026058390015925,2.196898979343892
2A,ML,ExtraTrees,0.40697164983069883,0.3847625253511799,-0.029443304929342662,0.287281013029445,1.988005738166481,2.7838327167122117,0.9602761004908235,0.40697164983069883,2.3595650972009983
2A,DL,ResidualMLP,0.45313066246494443,0.5258147120475769,0.23923887809117636,0.3181231962907465,1.8030608892440796,2.398363276575756,0.869407391084111,0.45313066246494443,1.9186681968390762
2A,DL,FTTransformer,0.42388490631860737,0.491606463988622,0.19074928760528564,0.2958505029806167,1.8550211191177368,2.475391448507152,0.8391397871788523,0.42388490631860737,1.979640639877194
2A,DL,CrossAttention,0.4066882163759795,0.4731973012288411,0.17662537097930908,0.2823604217159639,1.915811578432719,2.4977975372667367,0.8515670503121121,0.4066882163759795,2.0939063784549052
2A,DL,TabNet,0.4369580680650333,0.5034596025943756,0.1696739395459493,0.30445401947072387,1.8654451370239258,2.50422572747299,0.919001804619418,0.4369580680650333,2.1031807667243743
2A,DL,WideDeep,0.3747119923874001,0.4490632812182109,0.1561951239903768,0.2586352985748585,1.9637611707051594,2.528394225185664,0.8394595731728284,0.3747119923874001,2.240279441883845
2A,DL,TabTransformer,0.44974337407879483,0.5078997611999512,0.2076260248819987,0.31418083194467145,1.8178071975708008,2.4474983246860273,0.8619480092487196,0.44974337407879483,1.9165329806453284
2B,ML,LightGBM,0.4460675209309026,0.461679422332796,0.16618419147565777,0.310718255990816,1.863224131055947,2.503869755690021,0.8449910490013818,0.4460675209309026,1.8943119804776682
2B,ML,LightGBM_DART,0.4393235173591184,0.45831828948464454,0.19274655129401305,0.30527859510335137,1.8696115636211224,2.467077725113315,0.8210464504548404,0.4393235173591184,1.868888001694861
2B,ML,XGBoost,0.45610190593455596,0.4960126280784607,0.20770394802093506,0.31712922490551454,1.8583764632542927,2.4472472981252245,0.8795387745798781,0.45610190593455596,1.9283821513038781
2B,ML,CatBoost,0.4822916746213736,0.5270718180582749,0.2560016065822092,0.33808147774871977,1.7943027082368033,2.3737554961632377,0.8705189148738381,0.4822916746213736,1.8049635950221306
2B,ML,RandomForest,0.3795735376764555,0.35926535673829013,-0.00889415744383859,0.26209775940112406,2.0148394591280083,2.754593719923091,0.9451247898758212,0.3795735376764555,2.4899649107821515
2B,ML,ExtraTrees,0.40053761108946545,0.3808956136368493,-0.020334268449090403,0.28126406368309226,2.005814627176766,2.7728954027941675,0.9602761004908235,0.40053761108946545,2.39746798778488
2B,DL,FlatMLP,0.43683196476175484,0.5153014063835144,0.23588713010152182,0.30539637557304844,1.8547091086705525,2.404497513349381,0.8554702477984936,0.43683196476175484,1.958350846108666
