phase,track,family,model,cv_spearman,groupcv_spearman,scaffoldcv_spearman,cv_overfit_gap,groupcv_overfit_gap,scaffoldcv_overfit_gap,cv_fold_std,groupcv_fold_std,scaffoldcv_fold_std,cv_folds,groupcv_folds,scaffoldcv_folds,generalization_mean,primary_overfit_gap,source_model_dir
2A,2A_numeric,ML,XGBoost,0.2452413587352885,0.2636490608140007,0.25823028033254697,0.028554847157888252,0.009068434662007463,0.013700479367424764,0.012376146119999161,0.026740168518370064,0.0025663561155196955,3,3,3,0.26093967057327383,0.009068434662007463,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2A_numeric/XGBoost
2A,2A_numeric,ML,ElasticNet,0.2496542572044266,0.2631148808059129,0.25806009148711095,0.018428203218525563,0.005162210556401675,0.010638817957656274,0.010569252145894839,0.02746627835241465,0.004328668798747233,3,3,3,0.26058748614651195,0.005162210556401675,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2A_numeric/ElasticNet
2A,2A_numeric,ML,LightGBM,0.2444955376727652,0.2637265840671454,0.2572769349951823,0.029226650207205745,0.008573235077688701,0.014499427117872462,0.012948928764659475,0.026674972962258424,0.0025181060090975296,3,3,3,0.26050175953116383,0.008573235077688701,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2A_numeric/LightGBM
2A,2A_numeric,ML,ExtraTrees,0.2441452816234757,0.26354174024615407,0.2572550009251963,0.02977786822797875,0.009040043671776197,0.014554193231174462,0.013070897002352994,0.027350229197458206,0.0025036860717946962,3,3,3,0.26039837058567517,0.009040043671776197,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2A_numeric/ExtraTrees
2A,2A_numeric,ML,RandomForest,0.24319070698572368,0.26260890418866717,0.2574629939963958,0.030306530066507964,0.00993035721720604,0.014084564963253296,0.013365956923684042,0.0258581582875516,0.0019968362877792255,3,3,3,0.26003594909253147,0.00993035721720604,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2A_numeric/RandomForest
2B,2B_numeric_smiles,DL,ResidualMLP,0.7514408801985993,0.4318926344196073,0.37756147149912395,0.021563449874520302,0.3574553430080414,0.40729615092277527,0.02112221159040928,0.026694053784012794,0.05890852212905884,3,3,3,0.4047270529593656,0.3574553430080414,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2B_numeric_smiles/ResidualMLP
2B,2B_numeric_smiles,DL,CrossAttention,0.762035842238454,0.40134530464279755,0.37282854382191494,0.018735012039542198,0.37073400616645813,0.4008501470088959,0.008891419507563114,0.01526630762964487,0.05564919486641884,3,3,3,0.38708692423235624,0.37073400616645813,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2B_numeric_smiles/CrossAttention
2B,2B_numeric_smiles,DL,WideDeep,0.7411032071348561,0.40848982520718985,0.3596382653728308,0.02311164140701294,0.3762287199497223,0.4170156419277191,0.018184153363108635,0.021012116223573685,0.05732386186718941,3,3,3,0.3840640452900103,0.3762287199497223,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2B_numeric_smiles/WideDeep
2B,2B_numeric_smiles,DL,FTTransformer,0.7394059279170201,0.4043181533701821,0.3459627954203055,0.014930625446140766,0.3520059287548065,0.42906060814857483,0.02383233606815338,0.026240915060043335,0.1285185068845749,3,3,3,0.3751404743952438,0.3520059287548065,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2B_numeric_smiles/FTTransformer
2B,2B_numeric_smiles,DL,TabTransformer,0.7486076479709461,0.38504012619321504,0.36144977019329105,0.021821418777108192,0.3767463266849518,0.41438522934913635,0.008509311825037003,0.08350471407175064,0.11902444064617157,3,3,3,0.37324494819325305,0.3767463266849518,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2B_numeric_smiles/TabTransformer
2B,2B_numeric_smiles,DL,FlatMLP,0.7561701859815714,0.3791910469387744,0.35206288542986663,0.02363044023513794,0.3866768777370453,0.4314572513103485,0.005813944153487682,0.034180138260126114,0.04500487446784973,3,3,3,0.36562696618432056,0.3866768777370453,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2B_numeric_smiles/FlatMLP
2B,2B_numeric_smiles,DL,TabNet,0.7582109890939335,0.3465463925298166,0.33166403259395216,0.06010989472270012,0.4649292528629303,0.47660377621650696,0.002672176342457533,0.029773419722914696,0.03733793646097183,3,3,3,0.3391052125618844,0.4649292528629303,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2B_numeric_smiles/TabNet
2B,2B_numeric_smiles,Graph,GraphSAGE,0.7096440856566657,0.29536106063622625,0.3705084089269868,0.026377081871032715,0.44499292969703674,0.39729297161102295,0.01825929991900921,0.0864347368478775,0.08011648803949356,3,3,3,0.3329347347816065,0.44499292969703674,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2B_numeric_smiles/GraphSAGE
2B,2B_numeric_smiles,Graph,GAT,0.7663719458614683,0.2597016983405628,0.28205568816795207,0.03256239369511604,0.5351182818412781,0.50927734375,0.007802876178175211,0.10133934020996094,0.07259183377027512,3,3,3,0.2708786932542574,0.5351182818412781,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2B_numeric_smiles/GAT
2B,2B_numeric_smiles,ML,ElasticNet,,,,,,,,,,,,,,,/Users/skku_aws2_14/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/ElasticNet
