drug_id,rank,drug_name,tier,tier_name,tier_validation_goal,selected_config,ensemble_method,drug_level_score,confidence_grade,canonical_smiles,safety_score,verdict,n_total_matches,n_exact,n_close_analog,n_analog,hard_fail,hard_fail_reasons,soft_flag_count,soft_flags,context_flag_count,context_flags,herg_value,ames_value,dili_value,cyp3a4_value,ppbr_value,caco2_value,bioavailability_value,half_life_value,pains_alerts,lipinski_violations,mw,logp,hbd,hba,tpsa,rotatable_bonds
1025,17,SB216763,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,5.016706829225624,A,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,4.5,WARNING,2,2,0,0,0,,1,CYP3A4,0,,,,,1.0,,,,,0,0,371.22300000000007,4.0523000000000025,1,2,51.1,2
1814,18,Nelarabine,3,유방암 비사용 치료제,타 적응증 치료제의 신규 repurposing 탐색,A,directive_weighted_average,4.939345971377194,A,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,33.285,PASS,7,4,0,3,0,,0,,1,Half_life_low,,,,0.0,,,,0.5,0,0,297.271,-1.9713999999999994,4,9,148.76999999999998,3
1018,19,Veliparib,2,유방암 적응증 확장 연구 치료제,유방암 임상연구/적응증 확장 가능성 확인,A,directive_weighted_average,4.933962339287206,C,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,244.298,1.2604,3,3,83.8,2
1931,20,MIRA-1,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,4.92044094091649,B,CCC(=O)OCN1C(=O)C=CC1=O,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,183.163,-0.17790000000000017,0,4,63.68,3
1131,21,PRIMA-1MET,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,4.896362151332794,A,COCC1(CO)N2CCC(CC2)C1=O,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,199.24999999999997,-0.3413999999999997,1,4,49.77,3
1512,22,Cyclophosphamide,1,유방암 치료제,유방암 치료 맥락의 positive control 확인,A,directive_weighted_average,4.882440830674113,A,O.O=P1(N(CCCl)CCCl)NCCCO1,12.868999999999998,WARNING,8,0,8,0,0,,1,Ames,0,,,1.0,,,14.23,,1.0,8.0,0,0,279.10400000000004,1.0593,1,2,73.07000000000001,5
1029,23,Motesanib,2,유방암 적응증 확장 연구 치료제,유방암 임상연구/적응증 확장 가능성 확인,A,directive_weighted_average,4.878247006775327,C,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,373.4600000000001,4.044100000000002,3,5,78.94,5
1621,24,PCI-34051,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,4.860396613451996,A,COC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,296.32599999999996,2.8171999999999997,2,3,63.489999999999995,4
1449,25,AZD1208,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,4.846864699827835,B,NC1CCCN(c2c(/C=C3/SC(=O)NC3=O)cccc2-c2ccccc2)C1,43.506,WARNING,4,0,0,4,0,,1,PPBR_high,0,,,,,,97.76,,,,0,0,379.4850000000001,3.605000000000002,2,5,75.43,3
1020,26,Lenalidomide,3,유방암 비사용 치료제,타 적응증 치료제의 신규 repurposing 탐색,A,directive_weighted_average,4.835814307744632,B,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,259.265,0.029799999999999882,2,4,92.5,1
1043,27,JNK Inhibitor VIII,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,4.8151530115217875,B,CCOC1=C(C(=CC(=N1)NC(=O)CC2=C(C=CC(=C2)OC)OC)N)C#N,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,356.3820000000001,2.1325799999999995,2,7,119.49000000000001,7
1629,28,ML323,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,4.8134682066130585,A,CC1=CN=C(N=C1NCC2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4C(C)C,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,384.48700000000014,4.768220000000004,1,5,68.52000000000001,6
1580,29,GSK2801,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,4.789105849357247,B,CCCOC1=CC2=C(C=C(N2C=C1)C(=O)C)C3=CC=CC=C3S(=O)(=O)C,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,371.4580000000001,4.0012000000000025,0,4,64.85,6
1852,30,LY2109761,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,4.744553885808339,C,C1CC2=C(C(=NN2C1)C3=CC=CC=N3)C4=C5C=CC(=CC5=NC=C4)OCCN6CCOCC6,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,441.53500000000037,3.8175000000000034,0,6,65.3,6
