rank,experiment_id,phase,split,category,model,val_spearman_mean,val_spearman_std,train_spearman_mean,gap_mean,n_folds,overfitting_flag,stability_flag,source_file
24,2A_DL_ResidualMLP_5-FoldCV,Phase 2A,5-Fold CV,DL,ResidualMLP,0.8092107984951561,0.010005352080294148,0.8763978879613592,0.06718708946620311,5,False,True,colon_numeric_dl_v1_5foldcv.json
25,2B_ML_XGBoost_5-FoldCV,Phase 2B,5-Fold CV,ML,XGBoost,0.8086133808974137,0.008250939516354088,0.9178255777988937,0.10921219690147999,5,False,True,colon_numeric_smiles_ml_v1_5foldcv.json
26,2B_DL_WideDeep_5-FoldCV,Phase 2B,5-Fold CV,DL,WideDeep,0.8082164263576297,0.013208807637303897,0.8459711721700722,0.037754745812442536,5,False,True,colon_numeric_smiles_dl_v1_5foldcv.json
27,2A_ML_XGBoost_5-FoldCV,Phase 2A,5-Fold CV,ML,XGBoost,0.8075593655676994,0.010827642215469094,0.9171235960056471,0.10956423043794772,5,False,True,colon_numeric_ml_v1_5foldcv.json
28,2B_DL_CrossAttention_5-FoldCV,Phase 2B,5-Fold CV,DL,CrossAttention,0.8050611940174542,0.013195130141698496,0.8356062795634095,0.030545085545955253,5,False,True,colon_numeric_smiles_dl_v1_5foldcv.json
29,2B_DL_ResidualMLP_5-FoldCV,Phase 2B,5-Fold CV,DL,ResidualMLP,0.8050447738580143,0.006653115341032667,0.8749918970415586,0.06994712318354424,5,False,True,colon_numeric_smiles_dl_v1_5foldcv.json
30,2A_DL_FlatMLP_5-FoldCV,Phase 2A,5-Fold CV,DL,FlatMLP,0.8040093061103567,0.014355186965836573,0.850289926531201,0.04628062042084424,5,False,True,colon_numeric_dl_v1_5foldcv.json
31,2B_DL_FTTransformer_5-FoldCV,Phase 2B,5-Fold CV,DL,FTTransformer,0.8038529850631578,0.009157293224462721,0.8248822949029717,0.02102930983981388,5,False,True,colon_numeric_smiles_dl_v1_5foldcv.json
32,2A_DL_FTTransformer_5-FoldCV,Phase 2A,5-Fold CV,DL,FTTransformer,0.8031208043032759,0.011148460014324542,0.8238570106479287,0.020736206344652786,5,False,True,colon_numeric_dl_v1_5foldcv.json
33,2A_DL_TabTransformer_5-FoldCV,Phase 2A,5-Fold CV,DL,TabTransformer,0.8012420830347671,0.010175473226266253,0.8361748396766439,0.03493275664187678,5,False,True,colon_numeric_dl_v1_5foldcv.json
34,2A_ML_ExtraTrees_5-FoldCV,Phase 2A,5-Fold CV,ML,ExtraTrees,0.7998838339887273,0.01108798127623336,0.9489557595252393,0.14907192553651194,5,True,True,colon_numeric_ml_v1_5foldcv.json
35,2A_DL_CrossAttention_5-FoldCV,Phase 2A,5-Fold CV,DL,CrossAttention,0.7997045586513163,0.009818976369425067,0.8312888688493818,0.03158431019806551,5,False,True,colon_numeric_dl_v1_5foldcv.json
36,2B_ML_ExtraTrees_5-FoldCV,Phase 2B,5-Fold CV,ML,ExtraTrees,0.7995793160117689,0.011680273852640418,0.9489557595252393,0.14937644351347035,5,True,True,colon_numeric_smiles_ml_v1_5foldcv.json
37,2A_DL_TabNet_5-FoldCV,Phase 2A,5-Fold CV,DL,TabNet,0.7963047326444157,0.012104967056069619,0.8938072771380682,0.09750254449365248,5,False,True,colon_numeric_dl_v1_5foldcv.json
38,2B_DL_TabTransformer_5-FoldCV,Phase 2B,5-Fold CV,DL,TabTransformer,0.7932662066707132,0.01577171636788246,0.8330673770367734,0.039801170366060123,5,False,True,colon_numeric_smiles_dl_v1_5foldcv.json
39,2B_DL_TabNet_5-FoldCV,Phase 2B,5-Fold CV,DL,TabNet,0.7892328670843263,0.017185063562832337,0.892168169521306,0.10293530243697968,5,False,True,colon_numeric_smiles_dl_v1_5foldcv.json
40,2B_ML_CatBoost_DrugSplit,Phase 2B,Drug Split,ML,CatBoost,0.48806111712641664,0.053859672083741664,0.9045228340155794,0.4164617168891628,3,True,True,colon_numeric_smiles_ml_v1_groupcv.json
41,2A_ML_LightGBM_DrugSplit,Phase 2A,Drug Split,ML,LightGBM,0.4858550120183898,0.06623640168774797,0.881737626625868,0.39588261460747814,3,True,False,colon_numeric_ml_v1_groupcv.json
42,2A_ML_CatBoost_DrugSplit,Phase 2A,Drug Split,ML,CatBoost,0.4851280358688283,0.07249579810670047,0.9036302977801677,0.4185022619113394,3,True,False,colon_numeric_ml_v1_groupcv.json
43,2A_ML_LightGBM_DART_DrugSplit,Phase 2A,Drug Split,ML,LightGBM_DART,0.48289498075267184,0.053841488436175894,0.8484049903481061,0.3655100095954343,3,True,True,colon_numeric_ml_v1_groupcv.json
