canonical_drug_id,pred_ic50_mean,pred_ic50_std,pred_ic50_min,pred_ic50_max,y_true_mean,n_cell_lines,drug_name_norm,DRUG_NAME,TARGET,TARGET_PATHWAY,rank,rank_20260428_colon_v2
1584,4.112579542533265,0.7181929648752824,3.19729911182119,6.229246375403967,3.2087116,35,bdoca000347a,BDOCA000347a,"BRPF1, BRPF2, BRPF3",Chromatin histone acetylation,224,224
2038,4.128518449585311,0.6863065993092196,3.1646938772684345,6.571633549935786,4.6988835,33,unc0638,UNC0638,"G9A, GLP",Chromatin histone methylation,225,225
1927,4.131927205671156,0.6504981101535688,3.033706044080133,6.486865613038738,5.4966316,34,gsk2578215a,GSK2578215A,LRRK2,"Other, kinases",226,226
2110,4.1343094112174255,0.6955837935418352,3.2232462496011025,6.471835077671604,4.627979,33,gsk591,GSK591,PMRT5,Chromatin histone methylation,227,227
1029,4.138360546702466,0.6685606903449848,3.0345282316543742,6.411929144856753,5.994893,35,motesanib,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,228,228
1634,4.191130353883303,0.6456598182442682,3.2527662424151913,6.5648100120630835,4.62298,35,agi6780,AGI-6780,IDH2 R140Q mutant,Metabolism,229,229
1073,4.194223642035195,0.5932795467732817,3.349708060321143,6.117521459179253,4.1893625,35,5fluorouracil,5-Fluorouracil,Antimetabolite (DNA & RNA),Other,230,230
1009,4.200316075577986,0.243651447467771,3.941540814679154,4.503792815723811,5.794981,4,tretinoin,Tretinoin,Retinoic acid,Other,231,231
1375,4.204421286720759,0.6496001727232673,3.103123637336843,6.37620134207931,7.1786585,35,temozolomide,Temozolomide,DNA alkylating agent,DNA replication,232,232
2498,4.212778740384668,0.6579480735163641,3.389319156575703,6.473336227506365,8.061471,33,alphalipoicacid,alpha-lipoic acid,Metabolism,Metabolism,233,233
1576,4.245150428436978,0.6736931080300665,3.334678436682147,6.7332933057757245,3.4251633,35,iwp2,IWP-2,PORCN,WNT signaling,234,234
1997,4.253873206374793,0.8472760378181985,2.5930548991579476,6.9387638772596585,4.0808434,35,wehi539,WEHI-539,BCL-XL,Apoptosis regulation,235,235
1038,4.261725112730169,0.5834652966614224,3.453030212582956,6.328080052885533,3.1264534,35,nu7441,NU7441,DNAPK,Genome integrity,236,236
1625,4.270837135394027,0.7285054747265112,3.4476937111444372,6.7918555723505865,5.3510733,35,rvx208,RVX-208,BRD4,Chromatin other,237,237
1620,4.287491304911573,0.5793303617484633,3.519522748917679,6.309756353393706,5.809259,35,pfi3,PFI3,"Polybromo 1, SMARCA4, SMARCA2",Chromatin other,238,238
1632,4.287838996691727,0.8141540292577492,3.046702919507971,6.77291182870875,3.514003,35,ribociclib,Ribociclib,"CDK4, CDK6",Cell cycle,239,239
1129,4.293724129468164,0.2018398959026107,4.131950091575727,4.575742774306744,3.388422,4,pf4708671,PF-4708671,S6K1,PI3K/MTOR signaling,240,240
1047,4.322632869727531,0.7766574099286983,3.1926899348714657,6.693784618449814,4.9477077,35,nutlin3a,Nutlin-3a (-),MDM2,p53 pathway,241,241
1578,4.334866249648027,0.6741706969776331,3.4901960100067413,6.591831472161551,5.3945394,35,leflunomide,Leflunomide,Pyrimidine synthesis inhibitor,DNA replication,242,242
